Observation,TextUrn,Image,Comments
urn:cite:op:leiden3.70,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@υ,"urn:cite:hmt:vaimg.VA166RN-0337@0.2218,0.0977,0.0092,0.0122",
urn:cite:op:leiden3.71,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ζ,"urn:cite:hmt:vaimg.VA166RN-0337@0.2263,0.0977,0.0092,0.0136",
urn:cite:op:leiden3.72,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@α,"urn:cite:hmt:vaimg.VA166RN-0337@0.2347,0.0977,0.0092,0.0125",
urn:cite:op:leiden3.73,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@κ,"urn:cite:hmt:vaimg.VA166RN-0337@0.2417,0.0977,0.0092,0.0125",
urn:cite:op:leiden3.74,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ι,"urn:cite:hmt:vaimg.VA166RN-0337@0.2487,0.0977,0.007,0.0108",
urn:cite:op:leiden3.75,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ν,"urn:cite:hmt:vaimg.VA166RN-0337@0.2534,0.0994,0.0061,0.0082",
urn:cite:op:leiden3.76,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@η,"urn:cite:hmt:vaimg.VA166RN-0337@0.2582,0.1008,0.0061,0.0068",
urn:cite:op:leiden3.77,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ς,"urn:cite:hmt:vaimg.VA166RN-0337@0.2628,0.1,0.0061,0.0068",
urn:cite:op:leiden3.78,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ε,"urn:cite:hmt:vaimg.VA166RN-0337@0.2689,0.1003,0.0061,0.0068",
urn:cite:op:leiden3.79,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@λ,"urn:cite:hmt:vaimg.VA166RN-0337@0.2743,0.1,0.0061,0.0068",
urn:cite:op:leiden3.80,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@α[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.2798,0.101,0.0061,0.0054",
urn:cite:op:leiden3.81,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@φ[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.2866,0.0947,0.0085,0.0149",
urn:cite:op:leiden3.82,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ο,"urn:cite:hmt:vaimg.VA166RN-0337@0.2938,0.1012,0.0048,0.0068",
urn:cite:op:leiden3.83,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ι[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.2966,0.101,0.0048,0.0068",
urn:cite:op:leiden3.84,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@σ[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.3032,0.1012,0.0048,0.0068,
urn:cite:op:leiden3.85,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ι[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.3075,0.1019,0.0048,0.0068",
urn:cite:op:leiden3.86,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ν[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.3119,0.1026,0.0066,0.0053",
urn:cite:op:leiden3.87,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ο[2],"urn:cite:hmt:vaimg.VA166RN-0337@0.3349,0.104,0.0063,0.006",
urn:cite:op:leiden3.88,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@μ,"urn:cite:hmt:vaimg.VA166RN-0337@0.3426,0.1053,0.0079,0.0049",
urn:cite:op:leiden3.89,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ο[3],"urn:cite:hmt:vaimg.VA166RN-0337@0.3494,0.1056,0.0041,0.0043",
urn:cite:op:leiden3.90,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ι[3],"urn:cite:hmt:vaimg.VA166RN-0337@0.3527,0.1053,0.0031,0.0043",
urn:cite:op:leiden3.91,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ω,"urn:cite:hmt:vaimg.VA166RN-0337@0.3572,0.1057,0.0066,0.0046",
urn:cite:op:leiden3.92,urn:cts:greekLit:tlg5026.msA.hmt:13.c1@ς[3],"urn:cite:hmt:vaimg.VA166RN-0337@0.3631,0.1046,0.0072,0.0053",
